epoch,step,train_loss,train_loss_kl,train_loss_recon,train_post_mu_0,train_post_mu_1,train_post_mu_2,train_post_mu_3,train_post_mu_4,train_post_mu_5,train_post_mu_6,train_post_mu_7,train_post_sig_0,train_post_sig_1,train_post_sig_2,train_post_sig_3,train_post_sig_4,train_post_sig_5,train_post_sig_6,train_post_sig_7,train_prior_mu_0,train_prior_mu_1,train_prior_mu_2,train_prior_mu_3,train_prior_mu_4,train_prior_mu_5,train_prior_mu_6,train_prior_mu_7,train_prior_sig_0,train_prior_sig_1,train_prior_sig_2,train_prior_sig_3,train_prior_sig_4,train_prior_sig_5,train_prior_sig_6,train_prior_sig_7,val_rank_ic
0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019854791462421417
0,1978,1.3731118440628052,0.003218551632016897,1.3698939085006714,-0.07331676036119461,-0.1167307198047638,-0.08060392737388611,0.03663188964128494,-0.06589315831661224,0.03233380615711212,-0.057760946452617645,0.011557507328689098,0.6813215017318726,0.6507079005241394,0.6783702373504639,0.7119470834732056,0.7472378015518188,0.6543670892715454,0.6867027878761292,0.7487505674362183,-0.07364816963672638,-0.117021843791008,-0.08072293549776077,0.03550438582897186,-0.06603129953145981,0.030586589127779007,-0.05875558778643608,0.010319309309124947,0.682279646396637,0.6518741846084595,0.6788866519927979,0.7119627594947815,0.7473307847976685,0.6558688879013062,0.6879349946975708,0.7497024536132812,
1,3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017753876745700836
1,3957,1.3642487525939941,0.0024567171931266785,1.3617899417877197,-0.06299333274364471,-0.07370002567768097,-0.04453694447875023,0.01467722188681364,-0.048434268683195114,0.002986340783536434,-0.05344755947589874,-0.0020437485072761774,0.685816764831543,0.6633449196815491,0.685161828994751,0.711905300617218,0.7363660931587219,0.6637488603591919,0.6929198503494263,0.7382838726043701,-0.06278447806835175,-0.07367459684610367,-0.044590629637241364,0.014572552405297756,-0.04843028262257576,0.002961895428597927,-0.0534774549305439,-0.002313794568181038,0.6861096620559692,0.6635296940803528,0.6852127909660339,0.7119930386543274,0.7364232540130615,0.6639031171798706,0.6931111812591553,0.739067792892456,
2,5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00846511498093605
2,5936,1.361491322517395,0.003755867248401046,1.357734203338623,-0.051718227565288544,-0.045051272958517075,-0.025929171591997147,-0.005387911107391119,-0.0354585200548172,-0.02246176265180111,-0.038493845611810684,-0.010744310915470123,0.6923026442527771,0.6732010841369629,0.6885101199150085,0.714758038520813,0.7304055690765381,0.6784905791282654,0.6922770142555237,0.7256636619567871,-0.05164197087287903,-0.04500097781419754,-0.02594641037285328,-0.005438325926661491,-0.035496607422828674,-0.02244379185140133,-0.03850347548723221,-0.01090171653777361,0.6927512288093567,0.6734006404876709,0.6885582208633423,0.7149030566215515,0.730445921421051,0.6787967085838318,0.6924412846565247,0.7269943952560425,
3,7915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019019031897187233
3,7915,1.3593029975891113,0.0044402871280908585,1.3548622131347656,-0.037207476794719696,-0.03422432020306587,-0.027016175910830498,-0.015485723502933979,-0.029767626896500587,-0.02838144637644291,-0.03043106384575367,-0.019737455993890762,0.6965256929397583,0.6771295070648193,0.6859391927719116,0.7182033061981201,0.7191091179847717,0.688224196434021,0.6884273290634155,0.7169141173362732,-0.03706181421875954,-0.03410518169403076,-0.02706974372267723,-0.015403651632368565,-0.029684416949748993,-0.028169725090265274,-0.03056703694164753,-0.02023949660360813,0.6969435811042786,0.6773120760917664,0.6860055327415466,0.7183518409729004,0.7191739082336426,0.6885433197021484,0.6886170506477356,0.7186751365661621,
4,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01613323576748371
4,9894,1.3580601215362549,0.0048391083255410194,1.3532204627990723,-0.03191250190138817,-0.03406472131609917,-0.0272172000259161,-0.018490221351385117,-0.026993561536073685,-0.029161151498556137,-0.029746100306510925,-0.021532919257879257,0.697205662727356,0.6804378032684326,0.6833697557449341,0.714443564414978,0.7097959518432617,0.693211555480957,0.6866815090179443,0.7103091478347778,-0.03181866183876991,-0.033957041800022125,-0.027254177257418633,-0.01850658655166626,-0.027069931849837303,-0.029177378863096237,-0.02969169057905674,-0.021747160702943802,0.6975562572479248,0.6806566119194031,0.6834304332733154,0.7145927548408508,0.7098996043205261,0.6935570240020752,0.6868563890457153,0.7123224139213562,
