epoch,step,train_loss,train_loss_kl,train_loss_recon,train_post_mu_0,train_post_mu_1,train_post_mu_10,train_post_mu_11,train_post_mu_12,train_post_mu_13,train_post_mu_14,train_post_mu_15,train_post_mu_16,train_post_mu_17,train_post_mu_18,train_post_mu_19,train_post_mu_2,train_post_mu_20,train_post_mu_21,train_post_mu_22,train_post_mu_23,train_post_mu_24,train_post_mu_25,train_post_mu_26,train_post_mu_27,train_post_mu_28,train_post_mu_29,train_post_mu_3,train_post_mu_30,train_post_mu_31,train_post_mu_4,train_post_mu_5,train_post_mu_6,train_post_mu_7,train_post_mu_8,train_post_mu_9,train_post_sig_0,train_post_sig_1,train_post_sig_10,train_post_sig_11,train_post_sig_12,train_post_sig_13,train_post_sig_14,train_post_sig_15,train_post_sig_16,train_post_sig_17,train_post_sig_18,train_post_sig_19,train_post_sig_2,train_post_sig_20,train_post_sig_21,train_post_sig_22,train_post_sig_23,train_post_sig_24,train_post_sig_25,train_post_sig_26,train_post_sig_27,train_post_sig_28,train_post_sig_29,train_post_sig_3,train_post_sig_30,train_post_sig_31,train_post_sig_4,train_post_sig_5,train_post_sig_6,train_post_sig_7,train_post_sig_8,train_post_sig_9,train_prior_mu_0,train_prior_mu_1,train_prior_mu_10,train_prior_mu_11,train_prior_mu_12,train_prior_mu_13,train_prior_mu_14,train_prior_mu_15,train_prior_mu_16,train_prior_mu_17,train_prior_mu_18,train_prior_mu_19,train_prior_mu_2,train_prior_mu_20,train_prior_mu_21,train_prior_mu_22,train_prior_mu_23,train_prior_mu_24,train_prior_mu_25,train_prior_mu_26,train_prior_mu_27,train_prior_mu_28,train_prior_mu_29,train_prior_mu_3,train_prior_mu_30,train_prior_mu_31,train_prior_mu_4,train_prior_mu_5,train_prior_mu_6,train_prior_mu_7,train_prior_mu_8,train_prior_mu_9,train_prior_sig_0,train_prior_sig_1,train_prior_sig_10,train_prior_sig_11,train_prior_sig_12,train_prior_sig_13,train_prior_sig_14,train_prior_sig_15,train_prior_sig_16,train_prior_sig_17,train_prior_sig_18,train_prior_sig_19,train_prior_sig_2,train_prior_sig_20,train_prior_sig_21,train_prior_sig_22,train_prior_sig_23,train_prior_sig_24,train_prior_sig_25,train_prior_sig_26,train_prior_sig_27,train_prior_sig_28,train_prior_sig_29,train_prior_sig_3,train_prior_sig_30,train_prior_sig_31,train_prior_sig_4,train_prior_sig_5,train_prior_sig_6,train_prior_sig_7,train_prior_sig_8,train_prior_sig_9,val_rank_ic
0,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002766211749985814
0,1978,1.3433858156204224,0.006984596606343985,1.3364003896713257,0.06024099886417389,0.08734965324401855,-0.06316795200109482,0.09836147725582123,-0.03184789419174194,-0.1003057062625885,0.09030232578516006,0.10787573456764221,-0.08919035643339157,-0.0004326924972701818,-0.08162606507539749,-0.06286171823740005,-0.002921130508184433,-0.06740690767765045,-0.05250885337591171,0.05851886048913002,-0.010568110272288322,-0.10562717914581299,-0.09472905099391937,-0.06674481183290482,0.05884304270148277,-0.04332786425948143,0.07212721556425095,0.07228779047727585,-0.10051969438791275,0.049600884318351746,0.023401526734232903,0.06755989044904709,-0.021200435236096382,-0.06836352497339249,-0.013668711297214031,0.09084372967481613,0.7272211909294128,0.6458798050880432,0.7211512327194214,0.6634974479675293,0.7256526947021484,0.7089455127716064,0.731709897518158,0.7175512313842773,0.7162004709243774,0.6570277214050293,0.6560643315315247,0.7449406981468201,0.6330423355102539,0.6386553645133972,0.7061381936073303,0.7068111896514893,0.6681629419326782,0.660353422164917,0.6387803554534912,0.6412179470062256,0.6375294923782349,0.6728118658065796,0.6309331655502319,0.6536811590194702,0.6482970118522644,0.631852924823761,0.6740617752075195,0.704352080821991,0.6771180033683777,0.6968826651573181,0.6404468417167664,0.6898472905158997,0.05980456620454788,0.08554032444953918,-0.06229286640882492,0.09674250334501266,-0.03191111236810684,-0.09856869280338287,0.08882316201925278,0.10634280741214752,-0.08682136237621307,0.00011518755491124466,-0.08009999245405197,-0.062555693089962,-0.0031082688365131617,-0.06486713141202927,-0.05166212469339371,0.05715080350637436,-0.00998461339622736,-0.10352960973978043,-0.09355539083480835,-0.06545481085777283,0.05681826174259186,-0.04307081922888756,0.07067956775426865,0.07100862264633179,-0.09906663000583649,0.047644659876823425,0.02335611917078495,0.06604994088411331,-0.02114984579384327,-0.06799700856208801,-0.01354718953371048,0.08766359835863113,0.7292653322219849,0.6498327851295471,0.7258858680725098,0.665025532245636,0.7301861047744751,0.7115512490272522,0.7356215715408325,0.7196784615516663,0.7255250215530396,0.6665686368942261,0.6590632796287537,0.7481557726860046,0.6382960677146912,0.6471849679946899,0.7127184271812439,0.7088568210601807,0.6748794317245483,0.6676709651947021,0.640744149684906,0.6458315253257751,0.645280659198761,0.6766991019248962,0.6357727646827698,0.6586110591888428,0.6506736874580383,0.64220130443573,0.6777534484863281,0.7084539532661438,0.6822562217712402,0.6996302604675293,0.6433364152908325,0.7004669904708862,
1,3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010578673332929611
1,3957,1.3211551904678345,0.010395035147666931,1.3107588291168213,0.04257769137620926,0.06363166123628616,-0.053160637617111206,0.0707162618637085,-0.028753118589520454,-0.07964805513620377,0.07791111618280411,0.08703424781560898,-0.07682826370000839,-0.00397618068382144,-0.06535641103982925,-0.058244384825229645,-0.008813725784420967,-0.06041812151670456,-0.048740170896053314,0.049932558089494705,-0.008358255960047245,-0.08695570379495621,-0.0758025050163269,-0.05858679860830307,0.04558885842561722,-0.03483496233820915,0.061807308346033096,0.06884042173624039,-0.0839482918381691,0.03513212502002716,0.01387793943285942,0.06341540068387985,-0.01810464635491371,-0.055990468710660934,-0.00780298700556159,0.07807665318250656,0.7073568105697632,0.6371252536773682,0.7040274739265442,0.649969756603241,0.7082891464233398,0.694812536239624,0.7093331813812256,0.6994002461433411,0.704395592212677,0.6449190974235535,0.6453092098236084,0.7261503338813782,0.6217146515846252,0.6322354078292847,0.6956983804702759,0.6887504458427429,0.6560190916061401,0.6504921913146973,0.6313743591308594,0.6291437149047852,0.6298012137413025,0.6638562083244324,0.6223479509353638,0.650204598903656,0.6365295052528381,0.6232812404632568,0.6575142741203308,0.691616952419281,0.6655797958374023,0.6850001215934753,0.6305050253868103,0.6784666180610657,0.04174206405878067,0.062377821654081345,-0.05293625593185425,0.0703245997428894,-0.028816869482398033,-0.07909872382879257,0.07619801163673401,0.08509920537471771,-0.07491358369588852,-0.003301971824839711,-0.0632133036851883,-0.05755077302455902,-0.008891301229596138,-0.058547038584947586,-0.04859649017453194,0.04902178421616554,-0.008167781867086887,-0.0849502757191658,-0.07515666633844376,-0.05775098130106926,0.04409071058034897,-0.034202154725790024,0.060885049402713776,0.06812933832406998,-0.08270903676748276,0.03422078862786293,0.01340415608137846,0.06258044391870499,-0.01742393709719181,-0.05494702234864235,-0.0076266201213002205,0.07538241147994995,0.7120531797409058,0.6416835784912109,0.7094618082046509,0.6539859175682068,0.7145498394966125,0.6966066956520081,0.7182624936103821,0.7068608999252319,0.7140452265739441,0.6579936742782593,0.6536970138549805,0.7316814064979553,0.6296067237854004,0.6431031823158264,0.704060435295105,0.6930704116821289,0.6650816202163696,0.6586716771125793,0.6337542533874512,0.6359220147132874,0.6399229168891907,0.6696866154670715,0.6290320158004761,0.657869815826416,0.6406047344207764,0.6354535818099976,0.662876546382904,0.6972591876983643,0.6735939979553223,0.6907269954681396,0.6343979835510254,0.6881016492843628,
2,5936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00719825504347682
2,5936,1.308161973953247,0.013325358740985394,1.2948380708694458,0.03456595912575722,0.05428947135806084,-0.046950485557317734,0.052020423114299774,-0.026702510192990303,-0.06415803730487823,0.06883564591407776,0.07234908640384674,-0.06818564236164093,-0.001675995416007936,-0.05547071248292923,-0.049444228410720825,-0.008657577447593212,-0.05302303656935692,-0.051835741847753525,0.03912420943379402,-0.009871640242636204,-0.07100357860326767,-0.05617044121026993,-0.052967313677072525,0.040255431085824966,-0.02849069982767105,0.055773839354515076,0.06402390450239182,-0.06892578303813934,0.028468506410717964,0.006414009258151054,0.055036481469869614,-0.016745204105973244,-0.04555865377187729,-0.0030349032022058964,0.06982421875,0.6906682848930359,0.6288353204727173,0.6885775923728943,0.6345202326774597,0.6942702531814575,0.674586296081543,0.694031834602356,0.6834123730659485,0.6949759721755981,0.6385345458984375,0.6363831162452698,0.708752453327179,0.6120091080665588,0.6257967352867126,0.6866709589958191,0.6743700504302979,0.6486431360244751,0.6437205672264099,0.6127265691757202,0.620291531085968,0.626227855682373,0.656298041343689,0.6143696308135986,0.6434667110443115,0.6287966370582581,0.6169872879981995,0.6462467908859253,0.6813035607337952,0.657501757144928,0.6705916523933411,0.6220161318778992,0.670379102230072,0.033497050404548645,0.053465813398361206,-0.04686511680483818,0.050654806196689606,-0.02651161700487137,-0.06368745118379593,0.0675501674413681,0.07042770832777023,-0.06674317270517349,-0.002382715465500951,-0.055091943591833115,-0.04822881147265434,-0.008880680426955223,-0.05245409533381462,-0.04980502277612686,0.039190277457237244,-0.00999863538891077,-0.06959690898656845,-0.05620371550321579,-0.05143825337290764,0.039802324026823044,-0.027966603636741638,0.05581206455826759,0.06147070229053497,-0.06766578555107117,0.027128664776682854,0.006583895534276962,0.05369594693183899,-0.016034990549087524,-0.045209240168333054,-0.0033045965246856213,0.06821926683187485,0.6966016888618469,0.6352908611297607,0.6953997015953064,0.6419512033462524,0.7017507553100586,0.679557740688324,0.7065256834030151,0.6940829157829285,0.7055513262748718,0.6524543762207031,0.6468644738197327,0.7160763740539551,0.6216535568237305,0.638170599937439,0.6967296004295349,0.680855929851532,0.6580504775047302,0.6515226364135742,0.619558572769165,0.6305579543113708,0.6362057328224182,0.6630794405937195,0.6234750747680664,0.652787983417511,0.6339195966720581,0.6325762867927551,0.652899980545044,0.6881995797157288,0.6660447716712952,0.6813978552818298,0.6262825727462769,0.6801850199699402,
3,7915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001250452914973721
3,7915,1.296791911125183,0.016325082629919052,1.2804666757583618,0.02897430583834648,0.04478863999247551,-0.041246868669986725,0.04076668247580528,-0.02995382435619831,-0.052712295204401016,0.060319531708955765,0.06369248777627945,-0.06415586173534393,-0.0020649691578000784,-0.045408204197883606,-0.044709887355566025,-0.00844335462898016,-0.048112209886312485,-0.05174403637647629,0.03458786383271217,-0.009076530113816261,-0.05931229144334793,-0.046719130128622055,-0.04887981340289116,0.03190627321600914,-0.02406150847673416,0.047604672610759735,0.05490122735500336,-0.06076489016413689,0.025410128757357597,0.002143504563719034,0.044143203645944595,-0.01663815788924694,-0.04075028374791145,-0.001838285126723349,0.06359567493200302,0.6763937473297119,0.6229584813117981,0.6719934344291687,0.6237594485282898,0.681859016418457,0.6583154201507568,0.6811553835868835,0.6727805137634277,0.6858871579170227,0.6327417492866516,0.6282549500465393,0.6960190534591675,0.6039570569992065,0.6207143664360046,0.6773613095283508,0.6627048254013062,0.6437222957611084,0.6389893293380737,0.6049258708953857,0.616360604763031,0.6233890652656555,0.6490709185600281,0.6076334118843079,0.6387583613395691,0.6196343302726746,0.6125051379203796,0.6351567506790161,0.6695392727851868,0.6500773429870605,0.657977283000946,0.6142514944076538,0.6620672941207886,0.027999578043818474,0.04374685883522034,-0.04206181690096855,0.04014677554368973,-0.02908015064895153,-0.05164184421300888,0.05836266279220581,0.0626545324921608,-0.06095166131854057,-0.0024461837019771338,-0.044129110872745514,-0.04421907663345337,-0.009462028741836548,-0.047447320073843,-0.05084119737148285,0.03331679478287697,-0.009265085682272911,-0.058095529675483704,-0.045807063579559326,-0.04838457703590393,0.030800776556134224,-0.023741383105516434,0.0459490604698658,0.05430138483643532,-0.05929434299468994,0.02385125309228897,0.0026195247191935778,0.043715737760066986,-0.016731450334191322,-0.04008189216256142,-0.0018843854777514935,0.060848042368888855,0.6830824017524719,0.6300770044326782,0.68207186460495,0.6339653134346008,0.690880298614502,0.6656855940818787,0.6959927678108215,0.6856630444526672,0.6986981630325317,0.6475622653961182,0.6399321556091309,0.7047292590141296,0.6166976690292358,0.6349407434463501,0.6902965903282166,0.6706697940826416,0.6539690494537354,0.6479277610778809,0.6139388084411621,0.6275212168693542,0.6343765258789062,0.656114935874939,0.6204398274421692,0.6478987336158752,0.6265870928764343,0.6321946978569031,0.6451331973075867,0.6795101761817932,0.6593278050422668,0.6729827523231506,0.6191105246543884,0.6731143593788147,
4,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006613224279135466
4,9894,1.2882388830184937,0.01847875863313675,1.2697582244873047,0.024304337799549103,0.039215344935655594,-0.03744214400649071,0.032599665224552155,-0.02971041575074196,-0.04685713350772858,0.0538577064871788,0.056651461869478226,-0.05536751449108124,-0.0024070339277386665,-0.038218509405851364,-0.04242251068353653,-0.008756456896662712,-0.04616452381014824,-0.049948692321777344,0.02875676192343235,-0.006913360208272934,-0.05008202791213989,-0.03871322050690651,-0.04796000197529793,0.028639640659093857,-0.02248658984899521,0.04430265724658966,0.04807824268937111,-0.05385168269276619,0.022353151813149452,-0.0013589933514595032,0.036992594599723816,-0.013156779110431671,-0.03716377913951874,-0.00045932273496873677,0.06037881597876549,0.6659296154975891,0.618209719657898,0.6615656018257141,0.6150621175765991,0.6726999878883362,0.6495036482810974,0.6718902587890625,0.6638105511665344,0.6785259246826172,0.6260347366333008,0.621448278427124,0.6873600482940674,0.5986282229423523,0.6169008612632751,0.6675924062728882,0.6514343023300171,0.6400542259216309,0.6339934468269348,0.5998199582099915,0.6124038696289062,0.6199970841407776,0.642075777053833,0.6033580899238586,0.6324592232704163,0.609128475189209,0.6078842282295227,0.6276151537895203,0.6592304706573486,0.645425021648407,0.6480239629745483,0.607755720615387,0.6563155055046082,0.024083314463496208,0.03724324703216553,-0.036344222724437714,0.03301795572042465,-0.029147036373615265,-0.045753370970487595,0.052149537950754166,0.05512559413909912,-0.05471867322921753,-0.0018648087279871106,-0.03853382170200348,-0.042232029139995575,-0.009181794710457325,-0.04490154609084129,-0.048583801835775375,0.027295630425214767,-0.006531917955726385,-0.048987165093421936,-0.0371997244656086,-0.04756435751914978,0.02705165185034275,-0.022260786965489388,0.04329676181077957,0.0478660874068737,-0.0532284677028656,0.020482957363128662,-0.0015472150407731533,0.03640221059322357,-0.013349821791052818,-0.03657272085547447,0.00018883449956774712,0.05923086777329445,0.6731359362602234,0.6267032623291016,0.6726292371749878,0.625366747379303,0.6825763583183289,0.6581545472145081,0.6884512901306152,0.6776921153068542,0.6934822201728821,0.642124593257904,0.6359015703201294,0.6970320343971252,0.6137848496437073,0.6315876245498657,0.6814101934432983,0.6616991758346558,0.650995671749115,0.6431480050086975,0.609618604183197,0.6244975328445435,0.6324892640113831,0.6493745446205139,0.6168655157089233,0.6413468718528748,0.6201046705245972,0.6309031248092651,0.6388652920722961,0.6712263822555542,0.6551896929740906,0.6654176115989685,0.6135785579681396,0.6679175496101379,
